Processing complete!
Files with errors: 2707

============================================================
TIME SIGNATURE STATISTICS:
============================================================
Total distinct time signatures found: 334
Total time signature annotations: 6,784,003,598

All time signatures found (sorted by frequency):
  297. 18/64   :         75 occurrences (  0.00%)
  298. 91/16   :         74 occurrences (  0.00%)
  299. 46/32   :         73 occurrences (  0.00%)
  300. 73/8    :         73 occurrences (  0.00%)
  301. 45/32   :         70 occurrences (  0.00%)
  302. 110/32  :         67 occurrences (  0.00%)
  303. 40/8    :         66 occurrences (  0.00%)
  304. 66/8    :         64 occurrences (  0.00%)
  305. 36/2    :         63 occurrences (  0.00%)
  306. 63/16   :         63 occurrences (  0.00%)
  307. 19/2    :         63 occurrences (  0.00%)
  308. 50/4    :         56 occurrences (  0.00%)
  309. 40/32   :         54 occurrences (  0.00%)
  310. 53/16   :         51 occurrences (  0.00%)
  311. 10/32   :         50 occurrences (  0.00%)
  312. 69/8    :         48 occurrences (  0.00%)
  313. 96/32   :         46 occurrences (  0.00%)
  314. 38/8    :         44 occurrences (  0.00%)
  315. 72/8    :         44 occurrences (  0.00%)
  316. 22/64   :         44 occurrences (  0.00%)
  317. 57/8    :         36 occurrences (  0.00%)
  318. 58/8    :         35 occurrences (  0.00%)
  319. 53/8    :         34 occurrences (  0.00%)
  320. 17/64   :         34 occurrences (  0.00%)
  321. 50/16   :         33 occurrences (  0.00%)
  322. 41/4    :         32 occurrences (  0.00%)
  323. 47/4    :         29 occurrences (  0.00%)
  324. 59/32   :         28 occurrences (  0.00%)
  325. 55/16   :         27 occurrences (  0.00%)
  326. 69/16   :         23 occurrences (  0.00%)
  327. 63/8    :         21 occurrences (  0.00%)
  328. 21/64   :         20 occurrences (  0.00%)
  329. 38/16   :         19 occurrences (  0.00%)
  330. 40/16   :         18 occurrences (  0.00%)
  331. 57/16   :         17 occurrences (  0.00%)
  332. 42/16   :         14 occurrences (  0.00%)
  333. 56/32   :         12 occurrences (  0.00%)
  334. 2/32    :          1 occurrences (  0.00%)

============================================================
TIME SIGNATURE MAPPING COVERAGE:
============================================================
Time signatures in our mapping: ['10/8', '11/8', '12/8', '2/4', '3/4', '3/8', '4/4', '5/4', '6/8', '7/8', '9/8']

